ln,dob,gn,fn
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MELVIN JR,07/10/37,M,HAROLD
MICHAELSON JR,09/06/39,M,JACK
GRIFFIN JR,10/07/37,M,DARL
CLARK JR,16/12/44,M,JOHN
CLARK JR,16/12/44,M,JOHN
CLARK,16/12/44,M,JOHN
BLAND JR,25/10/53,F,WILLIAM
BLAND JR,25/10/53,F,WILLIAM
MICHAELSON JR,24/04/40,M,JOHN
MICHAELSON JR,24/04/40,M,JOHN
MUSTAPHA JR,11/03/47,M,OWAN
DUNCAN JR,25/10/53,F,THOMAS
FAGEN JR,07/10/37,M,GEORGE
CARLSON JR,25/10/53,F,ROY
GRIFFIN JR,07/05/37,M,CLARENCE
LIND JR,20/01/46,M,JOHN
GRIFFIN JR,07/10/37,M,DARH
MICHAELSON JR,24/06/39,M,JACK
MICHAELSON JR,17/06/48,M,ROY
MICHAELSON JR,17/06/48,M,ROY
SALTER JR,01/03/68,F,WILLIAM
SALTER JR,01/03/68,F,WILLIAM
MICHAELSON JR,07/10/37,M,HAROLD
MICHAELSON JR,07/10/37,M,HAROLD
BLAND,21/02/62,F,WILLIAM
BLAND III,21/02/62,F,WILLIAM
MICHAELSON JR,09/04/47,M,ROBERT
MICHAELSON JR,01/05/51,M,ROY
HOUGHTON JR,07/10/37,M,HAROLD
MICHAELSON JR,24/06/39,M,JOHN
MICHAELSON JR,24/06/39,M,JOHN
MICHAELSON JR,24/06/39,M,JOHN
LIND JR,31/01/46,M,KENNETH
LIND JR,31/01/46,M,KENNETH
MUSTAPHA JR,07/10/37,M,HAROLD
GRIFFIN JR,07/05/37,M,DARL
GALETICH JR,15/10/32,M,ADDISON
HOUGHTON JR,31/01/46,M,LAWRENCE
HOUGHTON JR,31/01/46,M,LAWRENCE
HOUGHTON JR,31/01/46,M,LAWRENCE
CAIN JR,20/01/46,M,JOHN
ROTHMEYER JR,01/03/68,F,WILLIAM
LARSON JR,09/06/39,M,HAROLD
LARSON JR,09/06/39,M,HAROLD
MUSTAPHA JR,11/03/47,M,OWEN
FAGEN JR,07/10/37,M,HAROLD
FAGEN JR,07/10/37,M,HAROLD
DUNCAN JR,25/10/53,F,ROY
SMITH JR,07/10/37,M,HAROLD
CLARK,09/02/45,M,DONALD
SHAFFER JR,25/10/53,F,WILLIAM
BLAND JR,08/06/54,F,WILLIAM
BLAND JR,08/06/54,F,WILLIAM
CLARK,09/02/45,M,RONALD
MICHAELSON JR,09/04/47,M,BOB
MICHAELSON JR,24/06/39,M,JAMES
MICHAELSON JR,24/06/39,M,JAMES
MICHAELSON JR,09/04/47,M,ROY
SHAFFER JR,21/02/62,F,WILLIAM
SHAFFER JR,21/02/62,F,WILLIAM
LIND JR,31/01/46,M,LAWRENCE
LIND JR,31/01/46,M,LAWRENCE
HANNA,24/11/34,M,ADDISON
HANNA,24/11/34,M,ADDISON J
HANNA,24/11/34,M,ADDISON JOHN
HANNA,24/11/34,M,ADDISON
HANNA,24/11/34,M,ADDISON
CLARK,09/06/45,M,JOHN
BLAND JR,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,WILLIAM
BLAND JR,21/02/62,F,BILL
MICHAELSON JR,25/10/53,M,ROY
MICHAELSON JR,25/10/53,M,ROY
MICHAELSON,25/10/53,M,ROY
MICHAELSON,25/10/53,M,ROY
FUNARO J,06/12/37,F,HARRIET
FUNARO,06/12/37,F,HARRIET
FUNARO JONES,06/12/37,F,HARRIET
ASBY JR,01/03/68,F,WILLIAM
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
CHAVAS JR,07/10/37,M,HAROLD
SMITH JR,01/03/68,F,WILLIAM
GRIFFIN JR,07/05/37,M,CLIFFORD
GRIFFIN JR,07/05/37,M,CLIFFORD
GRIFFIN JR,07/05/37,M,CLIFFORD
CARLSON JR,25/10/53,F,RON
MICHAELSON JR,16/12/44,M,JOHN
MICHAELSON JR,16/12/44,M,JOHN
MICHAELSON JR,16/12/44,M,JOHN
